/tmp/RenderDoc/VoxPlace_2026.03.21_14.11.15_frame1322.rdc - Frame #1322

 EID  | Event                                                                             | Action #
503   |   - glDrawArrays(2706)                                                            | 123   
507   |   - glDrawArrays(2004)                                                            | 124   
511   |   - glDrawArrays(3462)                                                            | 125   
515   |   - glDrawArrays(2562)                                                            | 126   
519   |   - glDrawArrays(1890)                                                            | 127   
523   |   - glDrawArrays(2850)                                                            | 128   
527   |   - glDrawArrays(1830)                                                            | 129   
531   |   - glDrawArrays(1902)                                                            | 130   
535   |   - glDrawArrays(3324)                                                            | 131   
539   |   - glDrawArrays(1944)                                                            | 132   
543   |   - glDrawArrays(1866)                                                            | 133   
547   |   - glDrawArrays(2148)                                                            | 134   
551   |   - glDrawArrays(2250)                                                            | 135   
555   |   - glDrawArrays(2004)                                                            | 136   
559   |   - glDrawArrays(2034)                                                            | 137   
563   |   - glDrawArrays(2484)                                                            | 138   
567   |   - glDrawArrays(2046)                                                            | 139   
571   |   - glDrawArrays(2340)                                                            | 140   
575   |   - glDrawArrays(1950)                                                            | 141   
579   |   - glDrawArrays(2196)                                                            | 142   
583   |   - glDrawArrays(3012)                                                            | 143   
587   |   - glDrawArrays(2490)                                                            | 144   
591   |   - glDrawArrays(5010)                                                            | 145   
595   |   - glDrawArrays(1800)                                                            | 146   
599   |   - glDrawArrays(3204)                                                            | 147   
603   |   - glDrawArrays(5256)                                                            | 148   
607   |   - glDrawArrays(6984)                                                            | 149   
611   |   - glDrawArrays(1938)                                                            | 150   
615   |   - glDrawArrays(6150)                                                            | 151   
619   |   - glDrawArrays(4890)                                                            | 152   
623   |   - glDrawArrays(7044)                                                            | 153   
627   |   - glDrawArrays(12768)                                                           | 154   
631   |   - glDrawArrays(2004)                                                            | 155   
635   |   - glDrawArrays(5550)                                                            | 156   
639   |   - glDrawArrays(13446)                                                           | 157   
643   |   - glDrawArrays(11058)                                                           | 158   
647   |   - glDrawArrays(4446)                                                            | 159   
651   |   - glDrawArrays(8490)                                                            | 160   
655   |   - glDrawArrays(7572)                                                            | 161   
730   | - Colour Pass #2 (1 Targets + Depth)                                              | 162-166
658   |  \- glClear(Color = <0.600000, 0.700000, 0.900000, 1.000000>)                     | 162   
664   |   - glDrawArrays(6)                                                               | 163   
675   |   - glDrawArrays(6)                                                               | 164   
707   |   - glDrawElementsBaseVertex(270)                                                 | 165   
710   |   - glDrawElementsBaseVertex(3450)                                                | 166   
728   | - glXSwapBuffers(Backbuffer Color)                                                | 167   
